Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,4.380000,4.440000,4.360000,4.430000,2.891756,360935360
2015-01-05,4.370000,4.500000,4.350000,4.440000,2.898283,528018113
2015-01-06,4.400000,4.490000,4.360000,4.410000,2.878700,514052782
2015-01-07,4.360000,4.480000,4.360000,4.450000,2.904811,476635249
2015-01-08,4.490000,4.500000,4.410000,4.430000,2.891756,490575095
2015-01-09,4.450000,4.520000,4.410000,4.440000,2.898283,511664499
2015-01-12,4.460000,4.460000,4.320000,4.390000,2.865645,325694020
2015-01-13,4.360000,4.450000,4.360000,4.400000,2.872173,205919235
2015-01-14,4.430000,4.470000,4.380000,4.410000,2.878700,276393655
2015-01-15,4.400000,4.490000,4.350000,4.470000,2.917866,411301535
2015-01-16,4.430000,4.480000,4.400000,4.440000,2.898283,331817645
2015-01-19,4.350000,4.370000,4.110000,4.180000,2.728564,795877616
2015-01-20,4.240000,4.300000,4.200000,4.290000,2.800368,406276872
2015-01-21,4.290000,4.450000,4.280000,4.400000,2.872173,420519282
2015-01-22,4.410000,4.480000,4.410000,4.460000,2.911339,329510942
2015-01-23,4.500000,4.540000,4.490000,4.520000,2.950505,428621301
2015-01-26,4.540000,4.540000,4.480000,4.530000,2.957033,247947393
2015-01-27,4.540000,4.540000,4.430000,4.440000,2.898283,321381529
2015-01-28,4.440000,4.500000,4.400000,4.450000,2.904811,206307371
2015-01-29,4.390000,4.430000,4.310000,4.350000,2.839535,306460269
2015-01-30,4.400000,4.430000,4.310000,4.340000,2.833007,278776672
2015-02-02,4.300000,4.320000,4.230000,4.290000,2.800368,269594818
2015-02-03,4.290000,4.330000,4.230000,4.320000,2.819952,255899481
2015-02-04,4.340000,4.390000,4.300000,4.330000,2.826479,202400935
2015-02-05,4.560000,4.570000,4.370000,4.400000,2.872173,446635640
2015-02-06,4.380000,4.400000,4.310000,4.330000,2.826479,263306387
2015-02-09,4.270000,4.320000,4.260000,4.270000,2.787313,212513991
2015-02-10,4.250000,4.340000,4.250000,4.310000,2.813424,205210523
2015-02-11,4.300000,4.320000,4.260000,4.270000,2.787313,170016629
2015-02-12,4.320000,4.350000,4.260000,4.340000,2.833007,264555044
2015-02-13,4.380000,4.400000,4.330000,4.400000,2.872173,179967447
2015-02-16,4.390000,4.420000,4.370000,4.390000,2.865645,114614756
2015-02-17,4.370000,4.430000,4.370000,4.400000,2.872173,107737027
2015-02-18,4.430000,4.430000,4.400000,4.410000,2.878700,53864909
2015-02-23,4.440000,4.440000,4.360000,4.410000,2.878700,136523493
2015-02-24,4.440000,4.440000,4.370000,4.400000,2.872173,153310063
2015-02-25,4.410000,4.450000,4.380000,4.420000,2.885228,178067194
2015-02-26,4.400000,4.520000,4.390000,4.470000,2.917866,300119588
2015-02-27,4.470000,4.520000,4.450000,4.460000,2.911339,242889265
2015-03-02,4.510000,4.520000,4.450000,4.490000,2.930922,267261786
2015-03-03,4.490000,4.490000,4.370000,4.390000,2.865645,260175448
2015-03-04,4.350000,4.370000,4.290000,4.300000,2.806896,322976070
2015-03-05,4.300000,4.320000,4.200000,4.230000,2.761203,335579682
2015-03-06,4.230000,4.260000,4.200000,4.230000,2.761203,310381831
2015-03-09,4.200000,4.300000,4.170000,4.290000,2.800368,363770814
2015-03-10,4.290000,4.290000,4.200000,4.200000,2.741619,282958879
2015-03-11,4.220000,4.280000,4.180000,4.190000,2.735092,338333376
2015-03-12,4.220000,4.330000,4.220000,4.260000,2.780786,314945226
2015-03-13,4.300000,4.410000,4.270000,4.350000,2.839535,400637407
2015-03-16,4.390000,4.400000,4.340000,4.390000,2.865645,230595141
2015-03-17,4.400000,4.440000,4.340000,4.380000,2.859118,176044692
2015-03-18,4.360000,4.430000,4.360000,4.420000,2.885228,362745359
2015-03-19,4.420000,4.460000,4.410000,4.450000,2.904811,334601429
2015-03-20,4.440000,4.490000,4.420000,4.450000,2.904811,408142953
