Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,5.680000,5.780000,5.670000,5.770000,3.905329,316618719
2015-01-05,5.730000,5.900000,5.710000,5.800000,3.925633,534408576
2015-01-06,5.700000,5.830000,5.670000,5.710000,3.864718,501370676
2015-01-07,5.680000,5.800000,5.660000,5.750000,3.891792,326962633
2015-01-08,5.840000,5.850000,5.700000,5.720000,3.871486,236272924
2015-01-09,5.750000,5.840000,5.710000,5.730000,3.878255,264517207
2015-01-12,5.730000,5.730000,5.620000,5.680000,3.844413,142031361
2015-01-13,5.620000,5.750000,5.620000,5.710000,3.864718,136003352
2015-01-14,5.740000,5.780000,5.650000,5.680000,3.844413,153461898
2015-01-15,5.730000,5.770000,5.630000,5.740000,3.885023,204880359
2015-01-16,5.690000,5.730000,5.660000,5.680000,3.844413,210096303
2015-01-19,5.580000,5.610000,5.380000,5.450000,3.688741,455843938
2015-01-20,5.490000,5.590000,5.460000,5.580000,3.776730,245814984
2015-01-21,5.630000,5.750000,5.600000,5.720000,3.871486,295898832
2015-01-22,5.750000,5.780000,5.730000,5.750000,3.891792,155103104
2015-01-23,5.800000,5.860000,5.800000,5.840000,3.952707,322381388
2015-01-26,5.840000,5.840000,5.760000,5.830000,3.945938,169470466
2015-01-27,5.850000,5.850000,5.710000,5.730000,3.878255,269790327
2015-01-28,5.740000,5.800000,5.700000,5.720000,3.871486,169511732
2015-01-29,5.610000,5.650000,5.550000,5.600000,3.790266,290652326
2015-01-30,5.610000,5.650000,5.550000,5.580000,3.776730,207769546
2015-02-02,5.510000,5.530000,5.440000,5.500000,3.722583,295443914
2015-02-03,5.500000,5.590000,5.460000,5.580000,3.776730,165048689
2015-02-04,5.590000,5.630000,5.550000,5.570000,3.769961,237529634
2015-02-05,5.740000,5.750000,5.630000,5.670000,3.837645,431823471
2015-02-06,5.640000,5.670000,5.530000,5.610000,3.797035,257901256
2015-02-09,5.530000,5.570000,5.500000,5.540000,3.749656,289346790
2015-02-10,5.500000,5.590000,5.490000,5.560000,3.763193,165378908
2015-02-11,5.530000,5.590000,5.480000,5.510000,3.729352,240004519
2015-02-12,5.560000,5.600000,5.490000,5.580000,3.776730,206447419
2015-02-13,5.610000,5.670000,5.600000,5.650000,3.824108,197146437
2015-02-16,5.690000,5.690000,5.640000,5.660000,3.830876,102911472
2015-02-17,5.630000,5.700000,5.630000,5.680000,3.844413,126763189
2015-02-18,5.700000,5.700000,5.660000,5.680000,3.844413,43553398
2015-02-23,5.710000,5.720000,5.610000,5.700000,3.857949,113997535
2015-02-24,5.710000,5.720000,5.670000,5.700000,3.857949,142847017
2015-02-25,5.750000,5.750000,5.630000,5.660000,3.830876,285857509
2015-02-26,5.620000,5.750000,5.620000,5.710000,3.864718,322027891
2015-02-27,5.690000,5.750000,5.660000,5.660000,3.830876,284774172
2015-03-02,5.710000,5.740000,5.670000,5.680000,3.844413,280678902
2015-03-03,5.710000,5.710000,5.560000,5.580000,3.776730,232331936
2015-03-04,5.580000,5.590000,5.500000,5.510000,3.729352,225382514
2015-03-05,5.490000,5.490000,5.420000,5.430000,3.675205,330587767
2015-03-06,5.410000,5.460000,5.400000,5.440000,3.681973,287778193
2015-03-09,5.380000,5.520000,5.370000,5.480000,3.709047,257092701
2015-03-10,5.460000,5.480000,5.400000,5.430000,3.675205,258563953
2015-03-11,5.470000,5.490000,5.370000,5.380000,3.641363,253226787
2015-03-12,5.360000,5.550000,5.360000,5.480000,3.709047,298903094
