,MSE,MAPE,RMSE,R2
ACB,0.004218507092446089,0.030865687876939774,1097.655517578125,0.9883776307106018
BID,0.004373262636363506,0.030160048976540565,1117.60791015625,0.9879512786865234
BVH,0.0039694104343652725,0.029179705306887627,1064.755126953125,0.9890639185905457
CTG,0.004053293261677027,0.02813800610601902,1075.946533203125,0.9888328313827515
FPT,0.004767830483615398,0.031889695674180984,1166.9361572265625,0.9868642091751099
GAS,0.0041358014568686485,0.029634347185492516,1086.84228515625,0.9886054992675781
HDB,0.003931104671210051,0.028737474232912064,1059.60498046875,0.9891694784164429
HPG,0.007141378708183765,0.04025974124670029,1428.162841796875,0.980324923992157
KDH,0.004774005152285099,0.033612221479415894,1167.6915283203125,0.9868472218513489
MBB,0.006632416509091854,0.038431476801633835,1376.330078125,0.981727123260498
MSN,0.0034554372541606426,0.02762446179986,993.4320678710938,0.9904800057411194
MWG,0.005700251553207636,0.03581927344202995,1275.9500732421875,0.9842953085899353
NVL,0.0039483970031142235,0.028884250670671463,1061.932861328125,0.9891218543052673
PDR,0.006709625478833914,0.03812592849135399,1384.31787109375,0.9815143942832947
PLX,0.004031691700220108,0.029225215315818787,1073.07568359375,0.9888923764228821
PNJ,0.009010572917759418,0.04365482181310654,1604.21630859375,0.9751750826835632
SAB,0.0031992217991501093,0.026553643867373466,955.8921508789062,0.9911859035491943
SSI,0.003952221013605595,0.02989073097705841,1062.4471435546875,0.9891113042831421
STB,0.002974748844280839,0.025592906400561333,921.747314453125,0.991804301738739
VCB,0.005511627998203039,0.03417196497321129,1254.66162109375,0.9848150014877319
VIC,0.004671212285757065,0.031167514622211456,1155.052001953125,0.9871304035186768
VJC,0.0036725804675370455,0.028265180066227913,1024.1707763671875,0.9898817539215088
VNM,0.004830807913094759,0.0328037291765213,1174.617919921875,0.9866907000541687
VPB,0.004120343364775181,0.029036127030849457,1084.809326171875,0.9886481165885925
VRE,0.004029339179396629,0.02944744937121868,1072.762451171875,0.9888988137245178
