,MSE,MAPE,RMSE,R2
ACB,0.0030138767324388027,0.020156029611825943,358.4890441894531,0.9788295030593872
BID,0.0028685859870165586,0.01894529163837433,349.741455078125,0.9798500537872314
BVH,0.002506307093426585,0.017979130148887634,326.9115905761719,0.982394814491272
CTG,0.002945858286693692,0.019649313762784004,354.42071533203125,0.979307234287262
FPT,0.0031053549610078335,0.02012142539024353,363.8889465332031,0.9781869053840637
GAS,0.0029119793325662613,0.01934865303337574,352.3768310546875,0.9795452356338501
HDB,0.0026323858182877302,0.018150946125388145,335.03326416015625,0.9815092086791992
HPG,0.003826263826340437,0.022705428302288055,403.9249267578125,0.9731229543685913
KDH,0.00315900519490242,0.020901475101709366,367.0188293457031,0.9778100252151489
MBB,0.0035619267728179693,0.022018972784280777,389.72265625,0.9749797582626343
MSN,0.0026546246372163296,0.018484076485037804,336.44549560546875,0.9813529849052429
MWG,0.003101152367889881,0.020352860912680626,363.6425476074219,0.9782164096832275
NVL,0.0026323283091187477,0.018361583352088928,335.0295715332031,0.9815096259117126
PDR,0.0035047985147684813,0.022389451041817665,386.584716796875,0.975381076335907
PLX,0.0024799644015729427,0.017885271459817886,325.18902587890625,0.9825798869132996
PNJ,0.004353780299425125,0.02465011738240719,430.87017822265625,0.9694175124168396
SAB,0.0026721698231995106,0.018385278061032295,337.5555114746094,0.9812297224998474
SSI,0.0028725136071443558,0.019490156322717667,349.9808044433594,0.9798224568367004
STB,0.002411208814010024,0.017651641741394997,320.6495056152344,0.9830628037452698
VCB,0.0032723136246204376,0.0210961252450943,373.54302978515625,0.9770141243934631
VIC,0.0027418106328696012,0.01890200935304165,341.9258117675781,0.9807405471801758
VJC,0.002539154840633273,0.018198084086179733,329.0468444824219,0.9821640849113464
VNM,0.0038086052518337965,0.022534523159265518,402.9917297363281,0.9732469916343689
VPB,0.0027155631687492132,0.018588174134492874,340.2852478027344,0.9809249043464661
VRE,0.00250546308234334,0.01827559620141983,326.8565368652344,0.9824007749557495
