,MSE,MAPE,RMSE,R2
ACB,0.003286204766482115,0.023614538833498955,1235.363037109375,0.9897751808166504
BID,0.034726839512586594,0.050582535564899445,4015.87255859375,0.8919495940208435
BVH,0.028126053512096405,0.04616167023777962,3614.112548828125,0.9124875664710999
CTG,0.01874876208603382,0.04015388339757919,2950.7578125,0.9416643977165222
FPT,0.025297855958342552,0.046786583960056305,3427.592041015625,0.9212872982025146
GAS,0.02704467438161373,0.04622321575880051,3543.95458984375,0.9158521890640259
HDB,0.015128182247281075,0.037169620394706726,2650.578369140625,0.9529296159744263
HPG,0.01730922795832157,0.043293628841638565,2835.2158203125,0.9461434483528137
KDH,0.01906137354671955,0.04203487187623978,2975.256103515625,0.9406917095184326
MBB,0.01680830679833889,0.04583431035280228,2793.8896484375,0.9477019906044006
MSN,0.008512038737535477,0.030042698606848717,1988.2183837890625,0.9735153317451477
MWG,0.00844745896756649,0.034003496170043945,1980.6617431640625,0.9737162590026855
NVL,0.01133491937071085,0.03319806978106499,2294.3330078125,0.9647321105003357
PDR,0.016942854970693588,0.043182265013456345,2805.0498046875,0.9472833871841431
PLX,0.01334755402058363,0.03550676256418228,2489.706298828125,0.9584699273109436
PNJ,0.02147967554628849,0.048413779586553574,3158.35595703125,0.9331673383712769
SAB,0.007887511514127254,0.02998565509915352,1913.891357421875,0.9754585027694702
SSI,0.006707169581204653,0.02871815115213394,1764.8868408203125,0.9791310429573059
STB,0.00418004859238863,0.02393454499542713,1393.278564453125,0.9869940280914307
VCB,0.020005065947771072,0.043972548097372055,3048.016357421875,0.9377554655075073
VIC,0.016282126307487488,0.03891975060105324,2749.810791015625,0.9493392109870911
VJC,0.01030435785651207,0.03166181594133377,2187.548828125,0.9679386615753174
VNM,0.015255971811711788,0.04004799574613571,2661.749755859375,0.9525319933891296
VPB,0.0045382478274405,0.02362440526485443,1451.7484130859375,0.9858795404434204
VRE,0.025142012163996696,0.047704972326755524,3417.01806640625,0.9217721819877625
