,MSE,MAPE,RMSE,R2
ACB,0.003306011436507106,0.03694828972220421,954.8497314453125,0.9885672330856323
BID,0.0019471411360427737,0.023150254040956497,732.7933959960938,0.9932664632797241
BVH,0.0033958249259740114,0.05509544536471367,967.73291015625,0.9882566332817078
CTG,0.0049489568918943405,0.06519784033298492,1168.2606201171875,0.9828856587409973
FPT,0.004379262216389179,0.05873750150203705,1098.9637451171875,0.9848557114601135
GAS,0.0052202316001057625,0.066550612449646,1199.8521728515625,0.9819475412368774
HDB,0.004996765870600939,0.06780893355607986,1173.889892578125,0.9827203154563904
HPG,0.003423216287046671,0.03453786298632622,971.6279907226562,0.9881619215011597
KDH,0.0036329119466245174,0.041145339608192444,1000.9451904296875,0.9874367713928223
MBB,0.0051000709645450115,0.05110172927379608,1185.96240234375,0.9823630452156067
MSN,0.003421358997002244,0.05339059606194496,971.3644409179688,0.9881683588027954
MWG,0.0031949342228472233,0.038567814975976944,938.6718139648438,0.9889513850212097
NVL,0.005258137360215187,0.07006258517503738,1204.2005615234375,0.9818164110183716
PDR,0.006217276211827993,0.06984604150056839,1309.431884765625,0.9784995913505554
PLX,0.0063092466443777084,0.07749960571527481,1319.0814208984375,0.9781815409660339
PNJ,0.004060921259224415,0.04398813843727112,1058.2667236328125,0.985956609249115
SAB,0.009446808136999607,0.10130142420530319,1614.0811767578125,0.9673312902450562
SSI,0.003006910439580679,0.045758385211229324,910.6324462890625,0.9896015524864197
STB,0.0056286584585905075,0.07751382142305374,1245.906005859375,0.980535089969635
VCB,0.004021025728434324,0.05139236897230148,1053.0556640625,0.98609459400177
VIC,0.004111734684556723,0.05613864213228226,1064.8670654296875,0.9857808947563171
VJC,0.0030883345752954483,0.04621807485818863,922.8795776367188,0.9893199801445007
VNM,0.005441773682832718,0.0668039470911026,1225.0479736328125,0.9811813831329346
VPB,0.004646198824048042,0.06583736091852188,1131.961669921875,0.983932614326477
VRE,0.005955508444458246,0.0744328498840332,1281.5699462890625,0.9794048070907593
