,MSE,MAPE,RMSE,R2
ACB,0.008882468566298485,0.027892975136637688,2363.421630859375,0.9390153884887695
BID,0.0036558443680405617,0.016935478895902634,1516.240966796875,0.97489994764328
BVH,0.003038112772628665,0.014547549188137054,1382.21728515625,0.979141116142273
CTG,0.005345894955098629,0.021117953583598137,1833.5155029296875,0.9632965326309204
FPT,0.004470336716622114,0.019025487825274467,1676.657958984375,0.9693078994750977
GAS,0.004182855598628521,0.018563250079751015,1621.8505859375,0.9712816476821899
HDB,0.002947242697700858,0.014283174648880959,1361.3890380859375,0.9797650575637817
HPG,0.005076656583696604,0.020630469545722008,1786.7479248046875,0.9651450514793396
KDH,0.004842335823923349,0.01986122876405716,1745.0257568359375,0.9667538404464722
MBB,0.0052038230933249,0.02093317173421383,1808.98779296875,0.9642719626426697
MSN,0.0034895038697868586,0.016250241547822952,1481.344970703125,0.9760420322418213
MWG,0.006734794937074184,0.023867828771471977,2057.958251953125,0.9537606835365295
NVL,0.004711190238595009,0.019627699628472328,1721.233154296875,0.9676542282104492
PDR,0.006968239787966013,0.024498658254742622,2093.3212890625,0.9521579742431641
PLX,0.003295370377600193,0.01582212559878826,1439.5491943359375,0.9773748517036438
PNJ,0.005509473849087954,0.021421968936920166,1861.3558349609375,0.9621734619140625
SAB,0.0036031599156558514,0.016984857618808746,1505.276123046875,0.9752616882324219
SSI,0.006670953705906868,0.02405376546084881,2048.180908203125,0.9541990160942078
STB,0.002978325355798006,0.014582213014364243,1368.54931640625,0.9795516133308411
VCB,0.007145073730498552,0.02497890219092369,2119.716064453125,0.9509438276290894
VIC,0.003605716861784458,0.01678638346493244,1505.81005859375,0.9752441048622131
VJC,0.003321184776723385,0.015904637053608894,1445.176513671875,0.9771976470947266
VNM,0.0052620116621255875,0.021242370828986168,1819.0736083984375,0.9638724327087402
VPB,0.0034641048405319452,0.016366397961974144,1475.944091796875,0.9762163758277893
VRE,0.0036977112758904696,0.0168401338160038,1524.8983154296875,0.9746125340461731
