,MSE,MAPE,RMSE,R2
ACB,0.004773568361997604,0.03259490057826042,1167.6380615234375,0.9868484139442444
BID,0.00738433375954628,0.037722330540418625,1452.2532958984375,0.9796555042266846
BVH,0.006428190506994724,0.03546268120408058,1354.9744873046875,0.9822897911071777
CTG,0.004131740890443325,0.029450824484229088,1086.3087158203125,0.9886167049407959
FPT,0.006071567069739103,0.035600896924734116,1316.8524169921875,0.9832723140716553
GAS,0.004885478410869837,0.03272150829434395,1181.2457275390625,0.9865400791168213
HDB,0.005341724958270788,0.03305799514055252,1235.1719970703125,0.9852830767631531
HPG,0.006350708194077015,0.037472862750291824,1346.783447265625,0.9825032353401184
KDH,0.005140886642038822,0.03423607721924782,1211.7294921875,0.9858364462852478
MBB,0.00823542382568121,0.03989941626787186,1533.6619873046875,0.9773107171058655
MSN,0.0035879812203347683,0.0278328787535429,1012.3059692382812,0.9901148080825806
MWG,0.004146337974816561,0.030929507687687874,1088.22607421875,0.9885764718055725
NVL,0.004281049128621817,0.029119348153471947,1105.762451171875,0.9882053732872009
PDR,0.00844263844192028,0.04203963652253151,1552.8369140625,0.9767398238182068
PLX,0.0035236484836786985,0.027435563504695892,1003.1895141601562,0.9902920722961426
PNJ,0.008662017062306404,0.04337884485721588,1572.8824462890625,0.9761354327201843
SAB,0.004519969690591097,0.03405022993683815,1136.1990966796875,0.9875470995903015
SSI,0.004187955986708403,0.030184580013155937,1093.673583984375,0.9884618520736694
STB,0.0040750461630523205,0.03022279404103756,1078.829833984375,0.9887729287147522
VCB,0.006053814198821783,0.03633444383740425,1314.92578125,0.9833212494850159
VIC,0.0050140549428761005,0.03362475708127022,1196.688720703125,0.9861858487129211
VJC,0.003996207378804684,0.0297283623367548,1068.343017578125,0.9889901280403137
VNM,0.006025442387908697,0.03630322217941284,1311.8409423828125,0.9833993911743164
VPB,0.005557000637054443,0.03347982093691826,1259.8153076171875,0.9846900105476379
VRE,0.004173302091658115,0.02952125482261181,1091.758544921875,0.9885022044181824
