,MSE,MAPE,RMSE,R2
ACB,0.0028782091103494167,0.020155610516667366,350.32757568359375,0.9797824621200562
BID,0.0034302379935979843,0.02058170922100544,382.45050048828125,0.9759048223495483
BVH,0.0026200690772384405,0.018494611606001854,334.2485656738281,0.9815956950187683
CTG,0.0034682105761021376,0.02129446528851986,384.5616149902344,0.9756380915641785
FPT,0.0030326570849865675,0.019397655501961708,359.604248046875,0.9786975383758545
GAS,0.0030116077978163958,0.019212590530514717,358.3540954589844,0.9788454174995422
HDB,0.00301080709323287,0.019347136840224266,358.30645751953125,0.9788510203361511
HPG,0.003980395384132862,0.024527745321393013,411.9801330566406,0.9720402956008911
KDH,0.0039343941025435925,0.023756200447678566,409.5926208496094,0.9723634123802185
MBB,0.004956329241394997,0.026402082294225693,459.7198486328125,0.9651849865913391
MSN,0.0027662604115903378,0.018810346722602844,343.44696044921875,0.9805688261985779
MWG,0.003133172634989023,0.021157532930374146,365.51513671875,0.9779914617538452
NVL,0.0029684242326766253,0.019137345254421234,355.7756042480469,0.9791487455368042
PDR,0.0038973039481788874,0.02294379658997059,407.6573791503906,0.9726239442825317
PLX,0.0026931785978376865,0.01896764151751995,338.8798828125,0.9810821413993835
PNJ,0.004198137670755386,0.02503221668303013,423.0985107421875,0.9705107808113098
SAB,0.0036893996875733137,0.02289893478155136,396.635009765625,0.9740843772888184
SSI,0.0028747180476784706,0.019888736307621002,350.1150817871094,0.9798069596290588
STB,0.0026787735987454653,0.01933479867875576,337.97235107421875,0.9811833500862122
VCB,0.0038142181001603603,0.023183289915323257,403.2886047363281,0.9732075929641724
VIC,0.003098692512139678,0.02023329772055149,363.49835205078125,0.9782336950302124
VJC,0.0026369658298790455,0.01889103651046753,335.3245849609375,0.9814770221710205
VNM,0.003297185990959406,0.02120138332247734,374.9599914550781,0.9768394231796265
VPB,0.002976661780849099,0.0199351254850626,356.2689208984375,0.9790908694267273
VRE,0.002591440686956048,0.018985522910952568,332.4174499511719,0.9817968010902405
