,MSE,MAPE,RMSE,R2
ACB,0.006707008928060532,0.029073819518089294,1764.865966796875,0.9791315793991089
BID,0.00744600547477603,0.030699487775564194,1859.5545654296875,0.9768322110176086
BVH,0.007910232059657574,0.029269900172948837,1916.6458740234375,0.9753878116607666
CTG,0.007473005447536707,0.031647391617298126,1862.9229736328125,0.9767482280731201
FPT,0.005640051793307066,0.02641514502465725,1618.4110107421875,0.982451319694519
GAS,0.0089585455134511,0.031559500843286514,2039.69873046875,0.9721260666847229
HDB,0.004908619448542595,0.02562400884926319,1509.826171875,0.984727144241333
HPG,0.024356819689273834,0.04957670718431473,3363.237548828125,0.9242153167724609
KDH,0.005511961877346039,0.02815079875290394,1599.9278564453125,0.9828498959541321
MBB,0.033498696982860565,0.060221679508686066,3944.220947265625,0.8957709074020386
MSN,0.019341176375746727,0.040582094341516495,2997.013916015625,0.9398211240768433
MWG,0.004304065369069576,0.02749544382095337,1413.7957763671875,0.9866081476211548
NVL,0.007286921143531799,0.028011567890644073,1839.5826416015625,0.9773272275924683
PDR,0.007226188667118549,0.03148442879319191,1831.900634765625,0.9775161743164062
PLX,0.010114994831383228,0.03334841504693031,2167.355224609375,0.9685278534889221
PNJ,0.01095033623278141,0.039676956832408905,2255.074951171875,0.9659287333488464
SAB,0.005407586228102446,0.03100823611021042,1584.7071533203125,0.9831746220588684
SSI,0.00744870537891984,0.029600847512483597,1859.891845703125,0.9768238067626953
STB,0.018534978851675987,0.03975396230816841,2933.88623046875,0.9423295855522156
VCB,0.02211836352944374,0.04513416439294815,3204.968505859375,0.9311801195144653
VIC,0.004442576318979263,0.025879517197608948,1436.3646240234375,0.9861772060394287
VJC,0.004021116532385349,0.024248478934168816,1366.5345458984375,0.9874885678291321
VNM,0.003236351301893592,0.0232791006565094,1225.9566650390625,0.989930272102356
VPB,0.004737445153295994,0.024437526240944862,1483.2672119140625,0.9852597117424011
VRE,0.01830797828733921,0.04124658182263374,2915.865478515625,0.9430358409881592
