,MSE,MAPE,RMSE,R2
ACB,0.004884697496891022,0.06530537456274033,1160.651123046875,0.98310786485672
BID,0.0050754910334944725,0.05074650049209595,1183.1011962890625,0.9824480414390564
BVH,0.0019001944456249475,0.027237843722105026,723.905517578125,0.9934287667274475
CTG,0.006940594874322414,0.07807297259569168,1383.5064697265625,0.9759982228279114
FPT,0.005412672646343708,0.07032480835914612,1221.76806640625,0.9812819957733154
GAS,0.0034742362331598997,0.0400162972509861,978.841796875,0.9879854917526245
HDB,0.006939794402569532,0.08700646460056305,1383.4266357421875,0.976000964641571
HPG,0.005971263628453016,0.0667438954114914,1283.263916015625,0.9793503284454346
KDH,0.0025754377711564302,0.03465445712208748,842.7686767578125,0.9910936951637268
MBB,0.004062014631927013,0.0484008863568306,1058.4093017578125,0.9859528541564941
MSN,0.0032143080607056618,0.047787196934223175,941.513671875,0.9888843297958374
MWG,0.005826857406646013,0.07514452934265137,1267.65185546875,0.9798496961593628
NVL,0.0037166851107031107,0.054491762071847916,1012.4199829101562,0.9871470332145691
PDR,0.0036705140955746174,0.051961030811071396,1006.1119384765625,0.9873067140579224
PLX,0.0022911052219569683,0.03416813537478447,794.886962890625,0.9920769333839417
PNJ,0.008160965517163277,0.07878487557172775,1500.21533203125,0.9717779755592346
SAB,0.008541636168956757,0.09574855118989944,1534.8056640625,0.9704615473747253
SSI,0.003908454440534115,0.056805118918418884,1038.21044921875,0.9864838719367981
STB,0.003903388511389494,0.061377499252557755,1037.537353515625,0.9865013957023621
VCB,0.006613321136683226,0.07472334802150726,1350.4940185546875,0.9771299958229065
VIC,0.002714111702516675,0.035221345722675323,865.1605834960938,0.990614116191864
VJC,0.0030434054788202047,0.04992510378360748,916.1419067382812,0.9894753694534302
VNM,0.007988414727151394,0.09268511086702347,1484.2708740234375,0.972374677658081
VPB,0.005608760751783848,0.07435227185487747,1243.701904296875,0.9806039333343506
VRE,0.011531026102602482,0.11395177990198135,1783.2689208984375,0.9601236581802368
