,MSE,MAPE,RMSE,R2
ACB,0.004885436035692692,0.01948738656938076,1752.7745361328125,0.9664579033851624
BID,0.00533571420237422,0.02171751856803894,1831.768798828125,0.9633664488792419
BVH,0.0037155775353312492,0.016951164230704308,1528.577880859375,0.9744898676872253
CTG,0.0037695022765547037,0.016944419592618942,1539.630126953125,0.9741196036338806
FPT,0.004325236193835735,0.019046731293201447,1649.22265625,0.9703040719032288
GAS,0.004468183033168316,0.019053488969802856,1676.254150390625,0.969322681427002
HDB,0.0038812437560409307,0.01765511743724346,1562.2833251953125,0.9733524322509766
HPG,0.007376976311206818,0.024875156581401825,2153.840576171875,0.9493516683578491
KDH,0.004475960973650217,0.01882242225110531,1677.71240234375,0.9692692756652832
MBB,0.00611738720908761,0.02162240445613861,1961.3602294921875,0.9579996466636658
MSN,0.0038920666556805372,0.016908815130591393,1564.460205078125,0.9732781052589417
MWG,0.005322381388396025,0.020675554871559143,1829.4786376953125,0.9634579420089722
NVL,0.005222957581281662,0.019826576113700867,1812.3104248046875,0.9641405940055847
PDR,0.005178190302103758,0.0197439081966877,1804.527099609375,0.9644479155540466
PLX,0.003757186233997345,0.016406547278165817,1537.1126708984375,0.9742041826248169
PNJ,0.005358940921723843,0.020372329279780388,1835.75146484375,0.963206946849823
SAB,0.004404829349368811,0.019335469231009483,1664.328125,0.969757616519928
SSI,0.0037371215876191854,0.016730690374970436,1533.0029296875,0.9743419289588928
STB,0.003720654407516122,0.01718384400010109,1529.621826171875,0.9744549989700317
VCB,0.004432186018675566,0.018423033878207207,1669.4884033203125,0.9695698022842407
VIC,0.004157536663115025,0.018340226262807846,1616.9345703125,0.971455454826355
VJC,0.003862285055220127,0.016872651875019073,1558.463134765625,0.973482608795166
VNM,0.004220488481223583,0.018242381513118744,1629.1300048828125,0.9710232615470886
VPB,0.005063513293862343,0.02091357670724392,1784.433349609375,0.9652352929115295
VRE,0.0033128142822533846,0.015428859740495682,1443.354248046875,0.97725510597229
