,MSE,MAPE,RMSE,R2
ACB,0.003213104559108615,0.02717057801783085,957.9639282226562,0.9911476373672485
BID,0.004074450116604567,0.029171515256166458,1078.7508544921875,0.9887745380401611
BVH,0.0029044002294540405,0.026943931356072426,910.7831420898438,0.9919981360435486
CTG,0.02192576974630356,0.06114417687058449,2502.4423828125,0.9395926594734192
FPT,0.0034913746640086174,0.02733243815600872,998.584716796875,0.9903809428215027
GAS,0.0030477172695100307,0.025893615558743477,932.9835815429688,0.9916032552719116
HDB,0.0032058069482445717,0.02648381143808365,956.8754272460938,0.9911677241325378
HPG,0.012073800899088383,0.05252765119075775,1856.986328125,0.9667356610298157
KDH,0.004196530673652887,0.03115486167371273,1094.792724609375,0.9884381890296936
MBB,0.007848206907510757,0.04109252989292145,1497.1727294921875,0.9783775210380554
MSN,0.0026907159481197596,0.024435637518763542,876.638671875,0.9925868511199951
MWG,0.00388773693703115,0.029137026518583298,1053.744140625,0.9892889261245728
NVL,0.004016611259430647,0.028113579377532005,1071.0670166015625,0.9889339208602905
PDR,0.0039505730383098125,0.030108997598290443,1062.2255859375,0.989115834236145
PLX,0.003496979596093297,0.027862727642059326,999.3859252929688,0.9903655052185059
PNJ,0.017710495740175247,0.060397256165742874,2249.065185546875,0.9512060880661011
SAB,0.0035131617914885283,0.03369878605008125,1001.69580078125,0.9903209209442139
SSI,0.004761164542287588,0.0305531844496727,1166.1199951171875,0.9868825674057007
STB,0.0024972297251224518,0.02527308464050293,844.53173828125,0.9931198954582214
VCB,0.008264683187007904,0.040184471756219864,1536.3841552734375,0.9772300720214844
VIC,0.0033778015058487654,0.027419185265898705,982.2086791992188,0.9906938672065735
VJC,0.0027566493954509497,0.025548500940203667,887.3141479492188,0.9924051761627197
VNM,0.005295455455780029,0.032539792358875275,1229.8109130859375,0.9854105710983276
VPB,0.003961499314755201,0.03241404891014099,1063.6934814453125,0.9890857338905334
VRE,0.0063898260705173016,0.051866669207811356,1350.925048828125,0.9823954701423645
