,MSE,MAPE,RMSE,R2
ACB,0.0033352503087371588,0.021448565647006035,377.1181335449219,0.9765720367431641
BID,0.003110328456386924,0.01947668194770813,364.18017578125,0.9781519770622253
BVH,0.0026243804022669792,0.018600409850478172,334.5234680175781,0.9815654158592224
CTG,0.013654100708663464,0.034325871616601944,763.035400390625,0.9040887951850891
FPT,0.0033013150095939636,0.020549146458506584,375.1946716308594,0.9768103957176208
GAS,0.002885168418288231,0.019195199012756348,350.7508850097656,0.9797335863113403
HDB,0.002581594046205282,0.017974598333239555,331.7852783203125,0.9818660020828247
HPG,0.010605063289403915,0.03932032734155655,672.4651489257812,0.9255062937736511
KDH,0.0041464827954769135,0.024592837318778038,420.48748779296875,0.9708736538887024
MBB,0.007713967002928257,0.03482064977288246,573.5245971679688,0.9458143711090088
MSN,0.002667221939191222,0.018510645255446434,337.24285888671875,0.9812644720077515
MWG,0.0037854244001209736,0.02279449813067913,401.76348876953125,0.9734098315238953
NVL,0.002754803514108062,0.018515294417738914,342.73504638671875,0.9806492924690247
PDR,0.004890446551144123,0.027766944840550423,456.6541748046875,0.9656477570533752
PLX,0.002763069700449705,0.01947278529405594,343.24884033203125,0.9805912375450134
PNJ,0.012422921136021614,0.041608136147260666,727.82177734375,0.9127370119094849
SAB,0.0026827703695744276,0.018736785277724266,338.22442626953125,0.981155276298523
SSI,0.003456548321992159,0.020667918026447296,383.9144592285156,0.9757199883460999
STB,0.002384569961577654,0.017747361212968826,318.873291015625,0.9832499623298645
VCB,0.006422462873160839,0.027864009141921997,523.3159790039062,0.9548863768577576
VIC,0.0038750707171857357,0.025038277730345726,406.492919921875,0.972780168056488
VJC,0.0026165293529629707,0.018703481182456017,334.0226745605469,0.9816205501556396
VNM,0.004440352786332369,0.023766104131937027,435.1329040527344,0.9688094258308411
VPB,0.003379278350621462,0.021759774535894394,379.59912109375,0.9762627482414246
VRE,0.002699014265090227,0.020083565264940262,339.246826171875,0.9810411930084229
