,MSE,MAPE,RMSE,R2
ACB,0.0014519097749143839,0.01860528066754341,821.1397705078125,0.9954824447631836
BID,0.0016146816778928041,0.017348334193229675,865.9459228515625,0.9949760437011719
BVH,0.0011654022382572293,0.01718113012611866,735.6736450195312,0.9963739514350891
CTG,0.010409489274024963,0.032849203795194626,2198.679931640625,0.96761155128479
FPT,0.001465167268179357,0.01794193498790264,824.8801879882812,0.995441198348999
GAS,0.0012442250736057758,0.016428763046860695,760.1455688476562,0.9961286783218384
HDB,0.0012447998160496354,0.015827087685465813,760.321044921875,0.9961268901824951
HPG,0.005387170240283012,0.03650062903761864,1581.7127685546875,0.983238160610199
KDH,0.0020454965997487307,0.023289786651730537,974.6454467773438,0.9936355948448181
MBB,0.0037798243574798107,0.03207418695092201,1324.89990234375,0.9882392883300781
MSN,0.0011914253700524569,0.016514230519533157,743.842041015625,0.9962929487228394
MWG,0.0014790304703637958,0.018827779218554497,828.7734375,0.9953981041908264
NVL,0.001534664654172957,0.01632698066532612,844.2169189453125,0.9952250123023987
PDR,0.001956741791218519,0.02295682020485401,953.2658081054688,0.9939117431640625
PLX,0.0014286963269114494,0.019775358960032463,814.5491333007812,0.9955546855926514
PNJ,0.008728420361876488,0.04155527427792549,2013.33056640625,0.9728420972824097
SAB,0.0016525727696716785,0.021467937156558037,876.04736328125,0.9948581457138062
SSI,0.002474716864526272,0.0207012128084898,1072.0377197265625,0.9923000931739807
STB,0.001102575333788991,0.016611557453870773,715.56884765625,0.9965693950653076
VCB,0.003963072784245014,0.026055404916405678,1356.6358642578125,0.9876691699028015
VIC,0.0017752638086676598,0.02140524983406067,907.985107421875,0.9944763779640198
VJC,0.001236475771293044,0.0168138574808836,757.7745971679688,0.9961527585983276
VNM,0.0022804890759289265,0.02179417572915554,1029.1087646484375,0.9929044246673584
VPB,0.0017403388628736138,0.022773053497076035,899.0092163085938,0.9945850372314453
VRE,0.0036567978095263243,0.037016190588474274,1303.1600341796875,0.9886221289634705
