,MSE,MAPE,RMSE,R2
ACB,0.0012946994975209236,0.01891757920384407,597.5404663085938,0.995522677898407
BID,0.0013431134866550565,0.01682053878903389,608.6102294921875,0.9953552484512329
BVH,0.0011548633920028806,0.023918448016047478,564.3494873046875,0.9960062503814697
CTG,0.0034615169279277325,0.021453678607940674,977.0484619140625,0.9880294799804688
FPT,0.0010558620560914278,0.016870081424713135,539.6180419921875,0.9963486194610596
GAS,0.0011137786787003279,0.016806334257125854,554.22021484375,0.9961483478546143
HDB,0.0017300271429121494,0.022958772256970406,690.7315673828125,0.9940172433853149
HPG,0.002393928589299321,0.02741323597729206,812.5281372070312,0.9917213916778564
KDH,0.0013931328430771828,0.020570460706949234,619.8392944335938,0.9951822757720947
MBB,0.0017943676793947816,0.023612912744283676,703.4585571289062,0.9937947392463684
MSN,0.0010176824871450663,0.01823921501636505,529.7720336914062,0.9964807033538818
MWG,0.0012789929751306772,0.02023099735379219,593.9049072265625,0.9955770373344421
NVL,0.0016975057078525424,0.018917769193649292,684.2085571289062,0.9941297173500061
PDR,0.0014730948023498058,0.02133435383439064,637.379638671875,0.9949057698249817
PLX,0.0016458737663924694,0.019949257373809814,673.7225341796875,0.9943082928657532
PNJ,0.003659476526081562,0.02923746593296528,1004.59814453125,0.9873448610305786
SAB,0.0027813485357910395,0.043959714472293854,875.811279296875,0.9903815984725952
SSI,0.0013811193639412522,0.017413659021258354,617.1609497070312,0.9952238202095032
STB,0.0010819394374266267,0.02297617681324482,546.2410278320312,0.9962584376335144
VCB,0.0017178076086565852,0.020278021693229675,688.2879028320312,0.9940595030784607
VIC,0.0014369215350598097,0.019699953496456146,629.5053100585938,0.9950308799743652
VJC,0.001150315860286355,0.020839661359786987,563.2373046875,0.9960219860076904
VNM,0.0013037690659984946,0.02064201794564724,599.6297607421875,0.9954913258552551
VPB,0.0016509578563272953,0.027921326458454132,674.7622680664062,0.9942907094955444
VRE,0.007075901608914137,0.08006440848112106,1396.9271240234375,0.9755302667617798
