,MSE,MAPE,RMSE,R2
ACB,0.004078047350049019,0.017081942409276962,1601.402587890625,0.9720011949539185
BID,0.003756721271201968,0.01591406762599945,1537.0179443359375,0.97420734167099
BVH,0.0029591929633170366,0.013870557770133018,1364.146484375,0.979682981967926
CTG,0.01950090005993843,0.03431091085076332,3501.883544921875,0.8661120533943176
FPT,0.003804177278652787,0.016243325546383858,1546.6951904296875,0.9738815426826477
GAS,0.003399420762434602,0.015495812520384789,1462.0992431640625,0.9766604900360107
HDB,0.0030277776531875134,0.014044700190424919,1379.8642578125,0.9792121052742004
HPG,0.013135931454598904,0.03259430453181267,2874.11962890625,0.9098122119903564
KDH,0.004965490195900202,0.019303370267152786,1767.0767822265625,0.9659082889556885
MBB,0.009058323688805103,0.027486726641654968,2386.70263671875,0.9378079771995544
MSN,0.003129723249003291,0.014203524217009544,1402.902099609375,0.978512167930603
MWG,0.004496028646826744,0.018236733973026276,1681.4691162109375,0.9691314697265625
NVL,0.0036119369324296713,0.015201341360807419,1507.1082763671875,0.975201427936554
PDR,0.00589280528947711,0.021752789616584778,1925.020751953125,0.9595415592193604
PLX,0.003275530179962516,0.014783414080739021,1435.2093505859375,0.9775111079216003
PNJ,0.014852473512291908,0.03424586355686188,3056.1435546875,0.8980269432067871
SAB,0.0031243108678609133,0.01427020039409399,1401.6884765625,0.9785493016242981
SSI,0.004351949784904718,0.017468994483351707,1654.3077392578125,0.9701206684112549
STB,0.0028324679005891085,0.013558320701122284,1334.61767578125,0.9805530309677124
VCB,0.007989462465047836,0.024100197479128838,2241.47119140625,0.9451465010643005
VIC,0.004650535993278027,0.01946117728948593,1710.1171875,0.9680706858634949
VJC,0.0032647817861288786,0.014849514700472355,1432.8524169921875,0.9775848984718323
VNM,0.005201536696404219,0.019389264285564423,1808.59033203125,0.9642876386642456
VPB,0.003689010161906481,0.016279805451631546,1523.10302734375,0.974672257900238
VRE,0.0034514092840254307,0.014746027067303658,1473.237060546875,0.9763035774230957
