,MSE,MAPE,RMSE,R2
ACB,0.003493583295494318,0.029189925640821457,998.9005126953125,0.9903748631477356
BID,0.005320482421666384,0.03231918811798096,1232.7137451171875,0.9853416085243225
BVH,0.00441789859905839,0.02830583043396473,1123.296875,0.9878283143043518
CTG,0.027480473741889,0.06665967404842377,2801.552978515625,0.9242889881134033
FPT,0.003388563636690378,0.026125116273760796,983.7721557617188,0.9906642436981201
GAS,0.003210927126929164,0.026576554402709007,957.6392822265625,0.9911535978317261
HDB,0.0032150400802493095,0.031520359218120575,958.2523803710938,0.9911422729492188
HPG,0.005023153964430094,0.03484589606523514,1197.7742919921875,0.9861607551574707
KDH,0.003994245547801256,0.032227739691734314,1068.0806884765625,0.9889954924583435
MBB,0.01939111016690731,0.05371406301856041,2353.358154296875,0.9465758800506592
MSN,0.004258200526237488,0.02942783571779728,1102.8076171875,0.9882683157920837
MWG,0.0035984069108963013,0.033492233604192734,1013.7756958007812,0.9900860786437988
NVL,0.005321864504367113,0.032371822744607925,1232.873779296875,0.9853377938270569
PDR,0.004309945274144411,0.030178744345903397,1109.4879150390625,0.988125741481781
PLX,0.004085839726030827,0.03428439423441887,1080.2576904296875,0.9887431859970093
PNJ,0.00942227616906166,0.04217037558555603,1640.4560546875,0.9740408062934875
SAB,0.005485445261001587,0.04978913441300392,1251.6781005859375,0.9848871231079102
SSI,0.005020322278141975,0.03141287341713905,1197.4364013671875,0.9861685633659363
STB,0.0031750951893627644,0.02590509131550789,952.281005859375,0.9912523627281189
VCB,0.010365513153374195,0.04439149424433708,1720.6085205078125,0.9714421629905701
VIC,0.0030126753263175488,0.02690145932137966,927.6044921875,0.9916998147964478
VJC,0.0031761066056787968,0.026514392346143723,952.4325561523438,0.9912495613098145
VNM,0.0037509510293602943,0.028386378660798073,1035.0406494140625,0.9896658062934875
VPB,0.007074161432683468,0.035979267209768295,1421.4256591796875,0.9805101156234741
VRE,0.0054140351712703705,0.03923790156841278,1243.5040283203125,0.9850838780403137
