,MSE,MAPE,RMSE,R2
ACB,0.002892984077334404,0.02030845172703266,351.22564697265625,0.9796786308288574
BID,0.003959335386753082,0.022171996533870697,410.88885498046875,0.9721882343292236
BVH,0.002769662532955408,0.018371274694800377,343.6581115722656,0.980544924736023
CTG,0.010962599888443947,0.03390490263700485,683.7069091796875,0.92299485206604
FPT,0.003154873149469495,0.019917389377951622,366.77874755859375,0.9778390526771545
GAS,0.00313668348826468,0.01996004395186901,365.7198791503906,0.977966845035553
HDB,0.0034202130045741796,0.02186756581068039,381.89129638671875,0.9759752154350281
HPG,0.004564886912703514,0.02577761933207512,441.19256591796875,0.9679346084594727
KDH,0.003934293985366821,0.02392292208969593,409.58740234375,0.9723641276359558
MBB,0.010918933898210526,0.03616056963801384,682.3438720703125,0.9233015775680542
MSN,0.0030009769834578037,0.019643517211079597,357.7210388183594,0.9789201021194458
MWG,0.0033407278824597597,0.022115986794233322,377.42767333984375,0.9765335321426392
NVL,0.0031409815419465303,0.01925629936158657,365.9703674316406,0.9779366254806519
PDR,0.004518442787230015,0.025939401239156723,438.9424133300781,0.9682608842849731
PLX,0.003068151418119669,0.020364003255963326,361.7025451660156,0.978448212146759
PNJ,0.006618605926632881,0.030207855626940727,531.2469482421875,0.9535086154937744
SAB,0.00428907060995698,0.025922780856490135,427.65618896484375,0.9698720574378967
SSI,0.0036499034613370895,0.02107955887913704,394.5062255859375,0.974361777305603
STB,0.0026440906804054976,0.018621772527694702,335.7773132324219,0.9814269542694092
VCB,0.008732703514397144,0.03204338252544403,610.2215576171875,0.9386584162712097
VIC,0.005401307251304388,0.03073175810277462,479.9130859375,0.9620593190193176
VJC,0.0028297235257923603,0.019516944885253906,347.36431884765625,0.9801230430603027
VNM,0.003289679763838649,0.021180568262934685,374.5329284667969,0.9768921136856079
VPB,0.004124322906136513,0.022583825513720512,419.36248779296875,0.9710292816162109
VRE,0.0025892246048897505,0.01897559128701687,332.2752990722656,0.9818123579025269
