,MSE,MAPE,RMSE,R2
ACB,0.0018132122932001948,0.021319344639778137,917.638427734375,0.9943583011627197
BID,0.002566404640674591,0.020466387271881104,1091.7164306640625,0.9920147657394409
BVH,0.0016376185230910778,0.017397919669747353,872.0745239257812,0.994904637336731
CTG,0.013236304745078087,0.0359453409910202,2479.308837890625,0.9588160514831543
FPT,0.0012226452818140388,0.015757281333208084,753.5247802734375,0.9961957931518555
GAS,0.0012905168114230037,0.016407325863838196,774.1571044921875,0.9959846138954163
HDB,0.001668330398388207,0.023978373035788536,880.2140502929688,0.994809091091156
HPG,0.002163242781534791,0.025575192645192146,1002.3050537109375,0.9932692050933838
KDH,0.001746581168845296,0.022046128287911415,900.6201171875,0.9945656061172485
MBB,0.010635013692080975,0.03452242910861969,2222.36962890625,0.9669098258018494
MSN,0.002073299139738083,0.01975923962891102,981.2467651367188,0.9935490489006042
MWG,0.0016045061638578773,0.022619042545557022,863.2130126953125,0.9950076937675476
NVL,0.002051487099379301,0.018359219655394554,976.0714721679688,0.9936169385910034
PDR,0.0015959093580022454,0.018992751836776733,860.8973388671875,0.9950344562530518
PLX,0.0021009426563978195,0.02278200536966324,987.7666625976562,0.9934630393981934
PNJ,0.004236904438585043,0.028645552694797516,1402.721923828125,0.9868171215057373
SAB,0.004149892833083868,0.04205011576414108,1388.2437744140625,0.9870878458023071
SSI,0.002312870230525732,0.02049083076417446,1036.3892822265625,0.9928036332130432
STB,0.0015349541790783405,0.01673576608300209,844.2965698242188,0.9952240586280823
VCB,0.004030490759760141,0.02524714544415474,1368.12646484375,0.9874593615531921
VIC,0.0021692304871976376,0.02389351837337017,1003.691162109375,0.9932505488395691
VJC,0.0015391510678455234,0.01838780753314495,845.449951171875,0.9952110052108765
VNM,0.001679693115875125,0.019153019413352013,883.2064208984375,0.9947737455368042
VPB,0.0036228089593350887,0.0224141925573349,1297.089599609375,0.988727867603302
VRE,0.002960722893476486,0.026234062388539314,1172.5899658203125,0.990787923336029
