,MSE,MAPE,RMSE,R2
ACB,0.001550523447804153,0.024417893961071968,653.9161376953125,0.9946380257606506
BID,0.0017567554023116827,0.018601201474666595,696.0469360351562,0.9939248561859131
BVH,0.001606655539944768,0.01807793602347374,665.6473999023438,0.9944438934326172
CTG,0.00784181896597147,0.028974510729312897,1470.5888671875,0.9728816151618958
FPT,0.000983412959612906,0.015600363723933697,520.7758178710938,0.9965991973876953
GAS,0.0011821598745882511,0.016834260895848274,570.9801025390625,0.9959118962287903
HDB,0.001657764078117907,0.03245748206973076,676.1517944335938,0.9942671656608582
HPG,0.0018501565791666508,0.03191405534744263,714.3106079101562,0.9936018586158752
KDH,0.0015446095494553447,0.025806086137890816,652.667724609375,0.9946584701538086
MBB,0.004458990413695574,0.02277296409010887,1108.92236328125,0.9845800399780273
MSN,0.0016564662801101804,0.02085389569401741,675.8870849609375,0.9942716360092163
MWG,0.001817335607483983,0.03660733625292778,707.9464721679688,0.9937153458595276
NVL,0.0022512387949973345,0.024237245321273804,787.94091796875,0.9922147989273071
PDR,0.0013379632728174329,0.018990974873304367,607.4421997070312,0.9953730702400208
PLX,0.0019577520433813334,0.0325554683804512,734.787353515625,0.9932297468185425
PNJ,0.002505218842998147,0.023178108036518097,831.2003784179688,0.9913365244865417
SAB,0.00563066964969039,0.07252997905015945,1246.128662109375,0.9805281758308411
SSI,0.001547841471619904,0.02056281827390194,653.350341796875,0.9946472644805908
STB,0.001056991401128471,0.016120292246341705,539.9065551757812,0.9963447451591492
VCB,0.0019853804260492325,0.020686490461230278,739.9540405273438,0.9931342005729675
VIC,0.0016912327846512198,0.02186991460621357,682.9431762695312,0.9941514134407043
VJC,0.0012451602378860116,0.019432073459029198,585.9971313476562,0.9956940412521362
VNM,0.001176416059024632,0.018245967105031013,569.5912475585938,0.9959317445755005
VPB,0.0022225864231586456,0.019924242049455643,782.9105834960938,0.9923139214515686
VRE,0.003703494556248188,0.05042394623160362,1010.6220092773438,0.987192690372467
