,MSE,MAPE,RMSE,R2
ACB,0.004162889439612627,0.017159773036837578,1617.97509765625,0.9714187383651733
BID,0.005039575044065714,0.01903599500656128,1780.2105712890625,0.9653996229171753
BVH,0.0037637902423739433,0.01581224426627159,1538.463134765625,0.9741588234901428
CTG,0.016371972858905792,0.03330806642770767,3208.66845703125,0.88759446144104
FPT,0.0036295424215495586,0.01580919697880745,1510.77685546875,0.9750805497169495
GAS,0.004119883291423321,0.017062515020370483,1609.5958251953125,0.9717140197753906
HDB,0.0034818907734006643,0.01603502593934536,1479.7281494140625,0.9760942459106445
HPG,0.00578107126057148,0.020712753757834435,1906.6832275390625,0.9603087306022644
KDH,0.0049257040955126286,0.019348030909895897,1759.9833984375,0.9661814570426941
MBB,0.016293251886963844,0.03358066454529762,3200.945556640625,0.8881348967552185
MSN,0.004553369712084532,0.017251119017601013,1692.15771484375,0.968737781047821
MWG,0.004207175690680742,0.017455710098147392,1626.55859375,0.9711146354675293
NVL,0.004574830178171396,0.01685018464922905,1696.1407470703125,0.9685904383659363
PDR,0.005659515969455242,0.021462107077240944,1886.5313720703125,0.9611432552337646
PLX,0.0040948460809886456,0.01683746837079525,1604.697509765625,0.9718859195709229
PNJ,0.00851503200829029,0.02529825270175934,2314.0224609375,0.9415380954742432
SAB,0.005079558119177818,0.01765768602490425,1787.258544921875,0.9651250839233398
SSI,0.004612768534570932,0.017816852778196335,1703.1590576171875,0.9683299660682678
STB,0.0035260722506791353,0.015466884709894657,1489.086669921875,0.9757909178733826
VCB,0.010597472079098225,0.028478698804974556,2581.52001953125,0.9272406101226807
VIC,0.006664316635578871,0.023921620100736618,2047.1619873046875,0.9542446136474609
VJC,0.0036794578190892935,0.015958432108163834,1521.1298828125,0.974737823009491
VNM,0.004521397408097982,0.017976073548197746,1686.2064208984375,0.9689573049545288
VPB,0.006287919357419014,0.02093658410012722,1988.51025390625,0.9568288326263428
VRE,0.0036762284580618143,0.015335658565163612,1520.4622802734375,0.9747599959373474
