,MSE,MAPE,RMSE,R2
train_teacher1,0.002588673261925578,0.018101301044225693,332.2398681640625,0.9818162322044373
train_teacher10,0.004566151183098555,0.02562922239303589,441.2536926269531,0.9679257273674011
train_teacher11,0.002729819156229496,0.018884828314185143,341.17724609375,0.9808247685432434
train_teacher12,0.011192566715180874,0.038435157388448715,690.8408813476562,0.9213795065879822
train_teacher13,0.00460130674764514,0.026346636936068535,442.9490661621094,0.9676787853240967
train_teacher14,0.0028367736376821995,0.02071150206029415,347.7967834472656,0.9800735116004944
train_teacher15,0.018665647134184837,0.03781489282846451,892.1434936523438,0.8688859343528748
train_teacher16,0.003302275435999036,0.021003901958465576,375.2492370605469,0.9768036603927612
train_teacher17,0.01119984406977892,0.04131755605340004,691.0654296875,0.9213283658027649
train_teacher18,0.007999368943274021,0.03530252352356911,584.0379028320312,0.9438096284866333
train_teacher19,0.0029141230043023825,0.020264962688088417,352.5064697265625,0.9795301556587219
train_teacher2,0.002660817699506879,0.019506294280290604,336.8377685546875,0.9813094735145569
train_teacher20,0.003548096166923642,0.02084897644817829,388.9653015136719,0.9750769138336182
train_teacher21,0.002371659968048334,0.01750950887799263,318.0090026855469,0.9833406209945679
train_teacher22,0.005927859805524349,0.027934294193983078,502.76165771484375,0.9583606123924255
train_teacher23,0.003688072320073843,0.02201232500374317,396.5636291503906,0.9740936756134033
train_teacher24,0.0038281274028122425,0.023663681000471115,404.02325439453125,0.9731099009513855
train_teacher25,0.003033875487744808,0.020540352910757065,359.676513671875,0.9786890149116516
train_teacher3,0.0030832700431346893,0.020597832277417183,362.5926513671875,0.9783419966697693
train_teacher4,0.002657803473994136,0.01877923123538494,336.6468811035156,0.9813306331634521
train_teacher5,0.0028393464162945747,0.019634215161204338,347.9544677734375,0.9800554513931274
train_teacher6,0.002753202337771654,0.01854773610830307,342.6354064941406,0.9806605577468872
train_teacher7,0.002925445092841983,0.02028593234717846,353.1906433105469,0.9794506430625916
train_teacher8,0.0031466810032725334,0.020798420533537865,366.3022155761719,0.9778966307640076
train_teacher9,0.0032712004613131285,0.01981210894882679,373.4795227050781,0.9770219326019287
