,MSE,MAPE,RMSE,R2
train_teacher1,0.0030236532911658287,0.014032812789082527,1378.9241943359375,0.9792404174804688
train_teacher10,0.0054069156758487225,0.020159754902124405,1843.9500732421875,0.9628775715827942
train_teacher11,0.0032427201513201,0.014825833961367607,1428.0029296875,0.9777363538742065
train_teacher12,0.01341584138572216,0.032352980226278305,2904.580078125,0.9078904390335083
train_teacher13,0.005557414144277573,0.020247532054781914,1869.4366455078125,0.961844265460968
train_teacher14,0.0029890933074057102,0.01430750172585249,1371.02099609375,0.9794777035713196
train_teacher15,0.027582639828324318,0.039389997720718384,4164.7822265625,0.8106250166893005
train_teacher16,0.003983122296631336,0.016766346991062164,1582.65478515625,0.9726529717445374
train_teacher17,0.013731658458709717,0.033521100878715515,2938.569091796875,0.9057221412658691
train_teacher18,0.009900536388158798,0.028347667306661606,2495.190673828125,0.9320255517959595
train_teacher19,0.0033106235787272453,0.015067508444190025,1442.876953125,0.9772701263427734
train_teacher2,0.003233859781175852,0.014451926574110985,1426.0506591796875,0.9777972102165222
train_teacher20,0.004579753149300814,0.01762421615421772,1697.052978515625,0.9685566425323486
train_teacher21,0.002863908652216196,0.013609033077955246,1342.00439453125,0.9803372025489807
train_teacher22,0.007322413846850395,0.023177018389105797,2145.860595703125,0.9497262835502625
train_teacher23,0.004385014064610004,0.017586007714271545,1660.5804443359375,0.9698936939239502
train_teacher24,0.004618056584149599,0.01894841156899929,1704.135009765625,0.9682936668395996
train_teacher25,0.0038135501090437174,0.016475016251206398,1548.599365234375,0.9738171696662903
train_teacher3,0.0036476533859968185,0.015873320400714874,1514.5413818359375,0.974956214427948
train_teacher4,0.003268427914008498,0.014922031201422215,1433.6522216796875,0.9775598645210266
train_teacher5,0.0037421807646751404,0.016037939116358757,1534.040283203125,0.9743071794509888
train_teacher6,0.0036613300908356905,0.015299969352781773,1517.3780517578125,0.974862277507782
train_teacher7,0.003167815040796995,0.014375980012118816,1411.41357421875,0.9782506227493286
train_teacher8,0.0038361919578164816,0.016392039135098457,1553.1898193359375,0.9736617207527161
train_teacher9,0.004069480579346418,0.0166193637996912,1599.7196044921875,0.9720600247383118
