,MSE,MAPE,RMSE,R2
train_teacher1,0.0037970568519085646,0.027811402454972267,1041.3824462890625,0.9895387887954712
train_teacher10,0.006260151043534279,0.03604277968406677,1337.1468505859375,0.9827527403831482
train_teacher11,0.003603569231927395,0.028519855812191963,1014.5025634765625,0.9900718331336975
train_teacher12,0.007035362534224987,0.03895026445388794,1417.5224609375,0.9806169867515564
train_teacher13,0.006109345704317093,0.03757314383983612,1320.9429931640625,0.9831682443618774
train_teacher14,0.004646487068384886,0.031151851639151573,1151.990966796875,0.987198531627655
train_teacher15,0.004509924445301294,0.029415078461170197,1134.9359130859375,0.9875747561454773
train_teacher16,0.00483564892783761,0.03189467638731003,1175.2061767578125,0.9866774082183838
train_teacher17,0.007511334028095007,0.04252093657851219,1464.6883544921875,0.979305624961853
train_teacher18,0.005797000136226416,0.035550300031900406,1286.7327880859375,0.9840287566184998
train_teacher19,0.003489443100988865,0.027653535827994347,998.3084106445312,0.9903863072395325
train_teacher2,0.0033754424657672644,0.028305768966674805,981.8656005859375,0.990700364112854
train_teacher20,0.0035292678512632847,0.027476442977786064,1003.9891967773438,0.990276575088501
train_teacher21,0.003274907125160098,0.0268972497433424,967.133056640625,0.9909773468971252
train_teacher22,0.0051604448817670345,0.0337887667119503,1214.0325927734375,0.9857825636863708
train_teacher23,0.004886215087026358,0.03244323655962944,1181.334716796875,0.9865380525588989
train_teacher24,0.004303265828639269,0.03084513545036316,1108.6278076171875,0.9881441593170166
train_teacher25,0.0037557254545390606,0.028569720685482025,1035.69921875,0.9896526336669922
train_teacher3,0.004198131151497364,0.029585447162389755,1095.00146484375,0.9884337782859802
train_teacher4,0.0034027097281068563,0.028158579021692276,985.823486328125,0.990625262260437
train_teacher5,0.004308921750634909,0.030672118067741394,1109.356201171875,0.9881285429000854
train_teacher6,0.00366837321780622,0.02798844315111637,1023.5839233398438,0.9898933172225952
train_teacher7,0.0033569266088306904,0.027119362726807594,979.1688842773438,0.9907513856887817
train_teacher8,0.004235234577208757,0.031087784096598625,1099.8297119140625,0.9883315563201904
train_teacher9,0.004836891312152147,0.03147532418370247,1175.357177734375,0.9866739511489868
