,MSE,MAPE,RMSE,R2
train_teacher1,0.00266597094014287,0.018340956419706345,337.16375732421875,0.9812732934951782
train_teacher10,0.003923149313777685,0.02325904369354248,409.0068664550781,0.9724423885345459
train_teacher11,0.0027659456245601177,0.01890016533434391,343.42742919921875,0.9805710315704346
train_teacher12,0.004557543899863958,0.02611755207180977,440.83758544921875,0.9679862260818481
train_teacher13,0.0034727223683148623,0.022308913990855217,384.8116760253906,0.975606381893158
train_teacher14,0.002548790303990245,0.018063120543956757,329.6706237792969,0.9820963740348816
train_teacher15,0.0030394294299185276,0.0200220737606287,360.00555419921875,0.9786499738693237
train_teacher16,0.0029815626330673695,0.01963014155626297,356.56207275390625,0.9790564775466919
train_teacher17,0.00422969413921237,0.023821642622351646,424.68572998046875,0.9702891111373901
train_teacher18,0.0036556334234774113,0.023659909144043922,394.8157653808594,0.9743215441703796
train_teacher19,0.0025575202889740467,0.01800544559955597,330.2347106933594,0.9820351004600525
train_teacher2,0.002629142487421632,0.018854090943932533,334.8268127441406,0.9815319776535034
train_teacher20,0.0027395763900130987,0.019047033041715622,341.7865295410156,0.9807562232017517
train_teacher21,0.002353650750592351,0.01758074015378952,316.7992858886719,0.9834671020507812
train_teacher22,0.003329008352011442,0.021239517256617546,376.76507568359375,0.976615846157074
train_teacher23,0.0032606753520667553,0.020617444068193436,372.8781433105469,0.9770958423614502
train_teacher24,0.0030073148664087057,0.020352013409137726,358.0986022949219,0.9788755774497986
train_teacher25,0.0028213337063789368,0.019617144018411636,346.8489990234375,0.9801819324493408
train_teacher3,0.0026894158218055964,0.018569262698292732,338.64306640625,0.9811086058616638
train_teacher4,0.0024881595745682716,0.018017934635281563,325.72589111328125,0.9825223088264465
train_teacher5,0.002559531480073929,0.018219877034425735,330.36456298828125,0.9820209741592407
train_teacher6,0.0025968323461711407,0.018359379842877388,332.7630920410156,0.9817589521408081
train_teacher7,0.0026688403449952602,0.01835666410624981,337.34515380859375,0.9812531471252441
train_teacher8,0.002845229348167777,0.01963667944073677,348.3147277832031,0.9800140857696533
train_teacher9,0.0028047384694218636,0.01888458989560604,345.8273620605469,0.9802985191345215
