,MSE,MAPE,RMSE,R2
train_teacher1,0.012229111045598984,0.034095119684934616,2383.113525390625,0.96194988489151
train_teacher10,0.002294414211064577,0.02410091459751129,1032.2459716796875,0.9928610920906067
train_teacher11,0.012236437760293484,0.03447526693344116,2383.8271484375,0.9619271159172058
train_teacher12,0.016585133969783783,0.045780278742313385,2775.279541015625,0.9483963847160339
train_teacher13,0.009300578385591507,0.0337853878736496,2078.271484375,0.9710618257522583
train_teacher14,0.003976354841142893,0.023244179785251617,1358.9073486328125,0.9876278042793274
train_teacher15,0.03239934518933296,0.04933509603142738,3878.9609375,0.8991914391517639
train_teacher16,0.03701160475611687,0.05273223668336868,4145.87548828125,0.884840726852417
train_teacher17,0.018998006358742714,0.043362632393836975,2970.306640625,0.9408888816833496
train_teacher18,0.026195507496595383,0.05174916982650757,3487.873046875,0.9184943437576294
train_teacher19,0.020588070154190063,0.04102817922830582,3092.111083984375,0.9359415173530579
train_teacher2,0.024215135723352432,0.04741833359003067,3353.44140625,0.9246561527252197
train_teacher20,0.009340803138911724,0.03155958279967308,2082.7607421875,0.97093665599823
train_teacher21,0.01697039231657982,0.037722766399383545,2807.328369140625,0.947197675704956
train_teacher22,0.015833307057619095,0.04032554104924202,2711.646484375,0.9507356882095337
train_teacher23,0.0073160347528755665,0.030434144660830498,1843.25390625,0.9772366285324097
train_teacher24,0.009314731694757938,0.034276530146598816,2079.851806640625,0.9710177779197693
train_teacher25,0.006792702246457338,0.029922259971499443,1776.1046142578125,0.9788649082183838
train_teacher3,0.006594487000256777,0.026883063837885857,1749.9989013671875,0.9794816374778748
train_teacher4,0.019894259050488472,0.04198154807090759,3039.56298828125,0.938100278377533
train_teacher5,0.013976662419736385,0.03617755323648453,2547.704345703125,0.9565125107765198
train_teacher6,0.016303110867738724,0.037672366946935654,2751.582275390625,0.9492738842964172
train_teacher7,0.013730598613619804,0.03688451275229454,2525.177978515625,0.9572781324386597
train_teacher8,0.005960639100521803,0.030171982944011688,1663.7713623046875,0.9814538359642029
train_teacher9,0.04167279228568077,0.05410125479102135,4399.19921875,0.870337724685669
