,MSE,MAPE,RMSE,R2
train_teacher1,0.004309526644647121,0.05649955943226814,1090.1785888671875,0.9850968718528748
train_teacher10,0.00472282012924552,0.059122491627931595,1141.2572021484375,0.9836676716804504
train_teacher11,0.005027300212532282,0.06606092303991318,1177.4710693359375,0.9826146960258484
train_teacher12,0.006110010202974081,0.060225941240787506,1298.087158203125,0.9788705110549927
train_teacher13,0.004777051974087954,0.055528752505779266,1147.7911376953125,0.9834800958633423
train_teacher14,0.003589190077036619,0.056492745876312256,994.9037475585938,0.9875879287719727
train_teacher15,0.0032136363442987204,0.04853431507945061,941.415283203125,0.9888866543769836
train_teacher16,0.003694366430863738,0.042961880564689636,1009.375732421875,0.9872242212295532
train_teacher17,0.003638544352725148,0.044186241924762726,1001.7207641601562,0.9874172806739807
train_teacher18,0.003757310099899769,0.047623615711927414,1017.9381103515625,0.9870065450668335
train_teacher19,0.0038712506648153067,0.05825737863779068,1033.25732421875,0.9866125583648682
train_teacher2,0.006597096100449562,0.08110138773918152,1348.8363037109375,0.9771860837936401
train_teacher20,0.005684755742549896,0.07372721284627914,1252.0992431640625,0.9803411364555359
train_teacher21,0.0033271368592977524,0.055440451949834824,957.8955688476562,0.9884941577911377
train_teacher22,0.002420832170173526,0.032888855785131454,817.0811157226562,0.9916283488273621
train_teacher23,0.004062657244503498,0.05712548643350601,1058.492919921875,0.9859505891799927
train_teacher24,0.0030382219702005386,0.03387703746557236,915.3614501953125,0.9894933104515076
train_teacher25,0.0034074210561811924,0.04928126558661461,969.3838500976562,0.9882165193557739
train_teacher3,0.0027684648521244526,0.04092763736844063,873.7804565429688,0.9904261827468872
train_teacher4,0.00674800481647253,0.08232131600379944,1364.1763916015625,0.9766641855239868
train_teacher5,0.004650981165468693,0.06348814070224762,1132.5443115234375,0.9839161038398743
train_teacher6,0.007233735639601946,0.08618718385696411,1412.4210205078125,0.9749844670295715
train_teacher7,0.007478825747966766,0.08866880089044571,1436.1492919921875,0.9741368889808655
train_teacher8,0.0033517873380333185,0.04815113916993141,961.4376220703125,0.9884089231491089
train_teacher9,0.003959962632507086,0.04245410114526749,1045.0291748046875,0.9863057732582092
