,MSE,MAPE,RMSE,R2
train_teacher1,0.005539556033909321,0.02109655551612377,1866.4306640625,0.961966872215271
train_teacher10,0.009942779317498207,0.02857963554561138,2500.50830078125,0.9317355751991272
train_teacher11,0.004022302571684122,0.017810530960559845,1590.4197998046875,0.972383975982666
train_teacher12,0.007987621240317822,0.02644650638103485,2241.212646484375,0.9451591372489929
train_teacher13,0.0071587287820875645,0.0247325636446476,2121.74072265625,0.9508501291275024
train_teacher14,0.003448676085099578,0.016178511083126068,1472.6534423828125,0.9763222932815552
train_teacher15,0.004068351816385984,0.018291041254997253,1599.4976806640625,0.9720677733421326
train_teacher16,0.0039100488647818565,0.017362182959914207,1568.0701904296875,0.9731546640396118
train_teacher17,0.004726709797978401,0.01980159804224968,1724.065673828125,0.9675477147102356
train_teacher18,0.007675935979932547,0.02552124485373497,2197.050537109375,0.947299063205719
train_teacher19,0.005227711983025074,0.019990043714642525,1813.1353759765625,0.9641079306602478
train_teacher2,0.006288743112236261,0.022884968668222427,1988.640625,0.9568231701850891
train_teacher20,0.0069384342059493065,0.024309804663062096,2088.83984375,0.952362596988678
train_teacher21,0.002849907148629427,0.013916177675127983,1338.7198486328125,0.9804332852363586
train_teacher22,0.006886492017656565,0.023915214464068413,2081.00634765625,0.9527192115783691
train_teacher23,0.006621027365326881,0.02301260083913803,2040.502197265625,0.954541802406311
train_teacher24,0.005106145516037941,0.020604126155376434,1791.9295654296875,0.9649425745010376
train_teacher25,0.006028567906469107,0.02271685190498829,1947.0697021484375,0.9586094617843628
train_teacher3,0.004138243850320578,0.018353840336203575,1613.1785888671875,0.9715879559516907
train_teacher4,0.004502811934798956,0.019150743260979652,1682.7371826171875,0.9690849184989929
train_teacher5,0.0036193972919136286,0.016758756712079048,1508.6639404296875,0.9751501679420471
train_teacher6,0.004326465539634228,0.018697088584303856,1649.45703125,0.9702956676483154
train_teacher7,0.005995750427246094,0.02243286930024624,1941.7625732421875,0.9588347673416138
train_teacher8,0.0062594288028776646,0.023112373426556587,1984.0003662109375,0.9570244550704956
train_teacher9,0.0033772774040699005,0.015667565166950226,1457.3294677734375,0.9768125414848328
