,MSE,MAPE,RMSE,R2
train_teacher1,0.003190686460584402,0.019271016120910645,368.8546142578125,0.9775875210762024
train_teacher10,0.005108619574457407,0.02677805908024311,466.7292175292969,0.9641152620315552
train_teacher11,0.0027701416984200478,0.018830547109246254,343.6878662109375,0.9805415272712708
train_teacher12,0.010360300540924072,0.03491739556193352,664.6597290039062,0.9272255897521973
train_teacher13,0.00408955616876483,0.024088123813271523,417.5911560058594,0.9712735414505005
train_teacher14,0.0026456862688064575,0.018571143969893456,335.87860107421875,0.9814157485961914
train_teacher15,0.028932780027389526,0.04627860337495804,1110.7294921875,0.7967659831047058
train_teacher16,0.0033208918757736683,0.02134866826236248,376.30548095703125,0.976672887802124
train_teacher17,0.0050429427064955235,0.027044735848903656,463.7193603515625,0.9645766019821167
train_teacher18,0.006573589518666267,0.02993001416325569,529.437255859375,0.9538248181343079
train_teacher19,0.0030705928802490234,0.019506648182868958,361.846435546875,0.9784311056137085
train_teacher2,0.002997582545503974,0.020611761137843132,357.5187072753906,0.978943943977356
train_teacher20,0.0036185451317578554,0.021281016990542412,392.8078918457031,0.9745820760726929
train_teacher21,0.003047758247703314,0.01893615908920765,360.49847412109375,0.9785915017127991
train_teacher22,0.007613189518451691,0.02993987873196602,569.7659301757812,0.9465222954750061
train_teacher23,0.0031765014864504337,0.02108394354581833,368.0337829589844,0.9776871204376221
train_teacher24,0.0033697043545544147,0.02177080325782299,379.0610046386719,0.9763299822807312
train_teacher25,0.0028929179534316063,0.020186377689242363,351.2216491699219,0.9796791076660156
train_teacher3,0.004643538035452366,0.025002455338835716,444.9771423339844,0.9673821330070496
train_teacher4,0.003673484083265066,0.0219405684620142,395.7785949707031,0.9741961359977722
train_teacher5,0.003060359274968505,0.020175589248538017,361.2429504394531,0.9785029888153076
train_teacher6,0.003402918577194214,0.02066953480243683,380.9245300292969,0.9760966897010803
train_teacher7,0.003232207614928484,0.020679423585534096,371.24688720703125,0.9772958159446716
train_teacher8,0.003335778834298253,0.021099623292684555,377.14801025390625,0.976568341255188
train_teacher9,0.004394109360873699,0.026428507640957832,432.86114501953125,0.9691342115402222
