,MSE,MAPE,RMSE,R2
train_teacher1,0.0023443601094186306,0.022976243868470192,804.0722045898438,0.9918928146362305
train_teacher10,0.0014294757274910808,0.019697904586791992,627.8721923828125,0.9950566291809082
train_teacher11,0.0010549103608354926,0.015912434086203575,539.374755859375,0.996351957321167
train_teacher12,0.005399353802204132,0.025778936222195625,1220.2637939453125,0.9813280701637268
train_teacher13,0.0012177954195067286,0.01882380247116089,579.5221557617188,0.9957886338233948
train_teacher14,0.0017511160112917423,0.020298970863223076,694.9287719726562,0.9939443469047546
train_teacher15,0.016216078773140907,0.03259173780679703,2114.734130859375,0.9439219236373901
train_teacher16,0.0011515975929796696,0.02173275500535965,563.551025390625,0.996017575263977
train_teacher17,0.0015522536123171449,0.025313690304756165,654.2808227539062,0.9946320056915283
train_teacher18,0.002914510667324066,0.02257636748254299,896.5316772460938,0.9899210929870605
train_teacher19,0.0026498488150537014,0.021535435691475868,854.8568725585938,0.9908363819122314
train_teacher2,0.0040406230837106705,0.05714631825685501,1055.61865234375,0.9860268235206604
train_teacher20,0.0019572051241993904,0.028216250240802765,734.6846923828125,0.9932316541671753
train_teacher21,0.0017023194814100862,0.017403896898031235,685.1779174804688,0.9941130876541138
train_teacher22,0.0020931882318109274,0.020448463037610054,759.7784423828125,0.9927613735198975
train_teacher23,0.0011396881891414523,0.01777128502726555,560.62939453125,0.9960587620735168
train_teacher24,0.001176130841486156,0.018352709710597992,569.5222778320312,0.9959327578544617
train_teacher25,0.0013510392745956779,0.01788928359746933,610.4032592773438,0.995327889919281
train_teacher3,0.00243849097751081,0.03502798080444336,820.0558471679688,0.9915672540664673
train_teacher4,0.002254620660096407,0.03021388128399849,788.532470703125,0.9922031164169312
train_teacher5,0.001128440722823143,0.017478661611676216,557.8560791015625,0.9960976839065552
train_teacher6,0.0014585922472178936,0.023580653592944145,634.2344360351562,0.9949559569358826
train_teacher7,0.00223821890540421,0.0409463495016098,785.6590576171875,0.9922598600387573
train_teacher8,0.001343688927590847,0.027424342930316925,608.7405395507812,0.9953532814979553
train_teacher9,0.003952148370444775,0.05773850530385971,1043.99755859375,0.9863327741622925
