,MSE,MAPE,RMSE,R2
train_teacher1,0.003459707833826542,0.014876378700137138,1475.007080078125,0.9762465953826904
train_teacher10,0.006712933070957661,0.02242584340274334,2054.615478515625,0.9539108276367188
train_teacher11,0.0033296234905719757,0.015217778272926807,1447.0113525390625,0.9771397113800049
train_teacher12,0.014666597358882427,0.030640169978141785,3036.9599609375,0.8993030786514282
train_teacher13,0.005339754745364189,0.01991795003414154,1832.462158203125,0.9633386731147766
train_teacher14,0.003609269391745329,0.015624959021806717,1506.551513671875,0.9752197265625
train_teacher15,0.04451519995927811,0.04987705871462822,5290.8876953125,0.6943706274032593
train_teacher16,0.0037749018520116806,0.016420995816588402,1540.7325439453125,0.9740825295448303
train_teacher17,0.006643764209002256,0.022526927292346954,2044.0028076171875,0.9543856978416443
train_teacher18,0.009151452220976353,0.026948725804686546,2398.940185546875,0.9371685981750488
train_teacher19,0.0045363400131464005,0.017372360453009605,1688.9903564453125,0.9688547253608704
train_teacher2,0.004380832891911268,0.016694722697138786,1659.788330078125,0.9699223637580872
train_teacher20,0.004686710890382528,0.017817728221416473,1716.7554931640625,0.9678223133087158
train_teacher21,0.004344150424003601,0.016651062294840813,1652.8245849609375,0.970174252986908
train_teacher22,0.00963880680501461,0.02700401283800602,2461.988525390625,0.9338225722312927
train_teacher23,0.004213962238281965,0.01713472791016102,1627.869873046875,0.9710680842399597
train_teacher24,0.004457338713109493,0.017549309879541397,1674.21875,0.9693971276283264
train_teacher25,0.004161798395216465,0.017189156264066696,1617.762939453125,0.9714261889457703
train_teacher3,0.0057982876896858215,0.020781967788934708,1909.5203857421875,0.9601905345916748
train_teacher4,0.005336371250450611,0.018970416858792305,1831.8814697265625,0.963361918926239
train_teacher5,0.0035832005087286234,0.015519869513809681,1501.1011962890625,0.9753987193107605
train_teacher6,0.00465512927621603,0.01787736639380455,1710.9615478515625,0.9680391550064087
train_teacher7,0.003580493852496147,0.015479774214327335,1500.5340576171875,0.9754173159599304
train_teacher8,0.0038803990464657545,0.01684018038213253,1562.113525390625,0.9733582139015198
train_teacher9,0.005293542053550482,0.020073527470231056,1824.515625,0.963655948638916
