,MSE,MAPE,RMSE,R2
train_teacher1,0.004278252832591534,0.029494017362594604,1105.401123046875,0.988213062286377
train_teacher10,0.006825028453022242,0.037790194153785706,1396.1719970703125,0.9811964631080627
train_teacher11,0.004651288036257029,0.031375765800476074,1152.5859375,0.9871852993965149
train_teacher12,0.006305558141320944,0.03785708546638489,1341.9874267578125,0.9826276302337646
train_teacher13,0.005567988380789757,0.035223811864852905,1261.060302734375,0.984659731388092
train_teacher14,0.005109370686113834,0.03318394720554352,1208.009521484375,0.9859232306480408
train_teacher15,0.013111885637044907,0.048260919749736786,1935.1707763671875,0.9638756513595581
train_teacher16,0.005034441128373146,0.03260626271367073,1199.119140625,0.9861297011375427
train_teacher17,0.005941115785390139,0.03592175245285034,1302.6287841796875,0.9836317300796509
train_teacher18,0.007340434938669205,0.03844582661986351,1447.93017578125,0.9797765016555786
train_teacher19,0.0054661985486745834,0.03377986699342728,1249.4803466796875,0.9849401712417603
train_teacher2,0.006219964474439621,0.03437694162130356,1332.8480224609375,0.9828634858131409
train_teacher20,0.004084247164428234,0.029373938217759132,1080.047119140625,0.9887475371360779
train_teacher21,0.003589306492358446,0.02808539941906929,1012.4929809570312,0.9901111721992493
train_teacher22,0.005632503889501095,0.03491221368312836,1268.34521484375,0.9844819903373718
train_teacher23,0.004847175441682339,0.03265104442834854,1176.60595703125,0.9866456389427185
train_teacher24,0.004274933133274317,0.031029172241687775,1104.97216796875,0.9882221817970276
train_teacher25,0.003966402728110552,0.03040967881679535,1064.3515625,0.9890722036361694
train_teacher3,0.006385262124240398,0.03572751581668854,1350.4423828125,0.9824080467224121
train_teacher4,0.005646359641104937,0.03423450142145157,1269.904296875,0.9844437837600708
train_teacher5,0.004338245373219252,0.030412714928388596,1113.1246337890625,0.9880477786064148
train_teacher6,0.004555622115731239,0.030430613085627556,1140.67138671875,0.9874488711357117
train_teacher7,0.0048460084944963455,0.03226485848426819,1176.46435546875,0.9866488575935364
train_teacher8,0.006418160628527403,0.03720257058739662,1353.9168701171875,0.9823174476623535
train_teacher9,0.006973171606659889,0.03634537756443024,1411.2431640625,0.9807883501052856
