,MSE,MAPE,RMSE,R2
train_teacher1,0.003151016542688012,0.019621452316641808,366.5544738769531,0.9778661727905273
train_teacher10,0.0046437704004347324,0.02609347179532051,444.9882507324219,0.9673805236816406
train_teacher11,0.0028022737242281437,0.01883678138256073,345.6753845214844,0.9803158640861511
train_teacher12,0.003944553900510073,0.024211183190345764,410.1211242675781,0.9722920656204224
train_teacher13,0.0037743563298135996,0.023474296554923058,401.1756896972656,0.9734876155853271
train_teacher14,0.00274991849437356,0.01933542639017105,342.4310302734375,0.9806836247444153
train_teacher15,0.004830575548112392,0.02411971054971218,453.8503112792969,0.9660683274269104
train_teacher16,0.003104536095634103,0.020466068759560585,363.8409118652344,0.9781926274299622
train_teacher17,0.004234876483678818,0.02512533776462078,424.94580078125,0.9702527523040771
train_teacher18,0.004927997011691332,0.02438095211982727,458.4040222167969,0.9653840065002441
train_teacher19,0.002713873516768217,0.018764881417155266,340.1793518066406,0.9809368252754211
train_teacher2,0.00290704146027565,0.019510095939040184,352.07794189453125,0.9795799255371094
train_teacher20,0.002941237296909094,0.019562002271413803,354.14263916015625,0.9793397188186646
train_teacher21,0.0026635967660695314,0.018926162272691727,337.01361083984375,0.9812899827957153
train_teacher22,0.0031685472931712866,0.020955989137291908,367.57275390625,0.9777430295944214
train_teacher23,0.0030165871139615774,0.02033674530684948,358.6502685546875,0.9788104295730591
train_teacher24,0.0030778173822909594,0.02117535099387169,362.2718811035156,0.9783803224563599
train_teacher25,0.002775084925815463,0.019651047885417938,343.994384765625,0.9805068373680115
train_teacher3,0.0034536186140030622,0.020923364907503128,383.75177001953125,0.9757405519485474
train_teacher4,0.0026930691674351692,0.018857689574360847,338.8730163574219,0.9810829162597656
train_teacher5,0.0031226882711052895,0.020225737243890762,364.903076171875,0.9780651330947876
train_teacher6,0.003119304310530424,0.019713737070560455,364.705322265625,0.978088915348053
train_teacher7,0.003479687264189124,0.022064754739403725,385.1973571777344,0.9755574464797974
train_teacher8,0.003297141520306468,0.020895449444651604,374.9574279785156,0.9768397212028503
train_teacher9,0.003359671449288726,0.020235160365700722,378.4962463378906,0.9764004945755005
