,MSE,MAPE,RMSE,R2
train_teacher1,0.010147370398044586,0.03246109560132027,2170.821044921875,0.9684271216392517
train_teacher10,0.0018484938191249967,0.02125485986471176,926.5231323242188,0.9942485094070435
train_teacher11,0.006356649566441774,0.02747425250709057,1718.1512451171875,0.980221688747406
train_teacher12,0.0278557687997818,0.0522373728454113,3596.705078125,0.9133285284042358
train_teacher13,0.00359571841545403,0.02439889870584011,1292.2308349609375,0.9888121485710144
train_teacher14,0.00425835233181715,0.023822356015443802,1406.26806640625,0.9867504239082336
train_teacher15,0.03566577285528183,0.0518440306186676,4069.80029296875,0.8890281915664673
train_teacher16,0.007503710221499205,0.03123650886118412,1866.746337890625,0.9766526818275452
train_teacher17,0.006643782369792461,0.03067154437303543,1756.5274658203125,0.9793282747268677
train_teacher18,0.01228698343038559,0.03868355229496956,2388.74560546875,0.9617698192596436
train_teacher19,0.010832727886736393,0.03292305767536163,2242.932373046875,0.9662946462631226
train_teacher2,0.018682070076465607,0.042876336723566055,2945.5048828125,0.9418718814849854
train_teacher20,0.009660067036747932,0.03185947239398956,2118.055419921875,0.9699432849884033
train_teacher21,0.0070935324765741825,0.028248965740203857,1815.0079345703125,0.9779289364814758
train_teacher22,0.010582085698843002,0.03375539183616638,2216.832763671875,0.9670745134353638
train_teacher23,0.007819246500730515,0.03126361221075058,1905.591064453125,0.9756709337234497
train_teacher24,0.006007632706314325,0.030188359320163727,1670.3172607421875,0.9813076257705688
train_teacher25,0.008816353976726532,0.03344381973147392,2023.44677734375,0.9725684523582458
train_teacher3,0.004334769211709499,0.025034897029399872,1418.82958984375,0.9865126609802246
train_teacher4,0.01583639346063137,0.03901416063308716,2711.910888671875,0.9507260322570801
train_teacher5,0.0033223917707800865,0.024510947987437248,1242.1461181640625,0.9896625876426697
train_teacher6,0.003244442865252495,0.021588241681456566,1227.48828125,0.9899051189422607
train_teacher7,0.00394419813528657,0.031161002814769745,1353.4014892578125,0.9877278804779053
train_teacher8,0.004185762722045183,0.026034194976091385,1394.23046875,0.9869762659072876
train_teacher9,0.017467448487877846,0.039769504219293594,2848.144775390625,0.945651113986969
