,MSE,MAPE,RMSE,R2
train_teacher1,0.0031780891586095095,0.015056943520903587,1413.7005615234375,0.9781801104545593
train_teacher10,0.005382289178669453,0.02011370100080967,1839.7462158203125,0.963046669960022
train_teacher11,0.0033715080935508013,0.015839412808418274,1456.084228515625,0.9768521189689636
train_teacher12,0.007682862691581249,0.026167040690779686,2198.041748046875,0.947251558303833
train_teacher13,0.004697251599282026,0.018772391602396965,1718.6851806640625,0.9677499532699585
train_teacher14,0.004363886080682278,0.018694892525672913,1656.5748291015625,0.9700387120246887
train_teacher15,0.004534522537142038,0.018457746133208275,1688.652099609375,0.9688671827316284
train_teacher16,0.004735630005598068,0.020114319398999214,1725.692138671875,0.9674864411354065
train_teacher17,0.004283427726477385,0.01821044646203518,1641.2325439453125,0.970591127872467
train_teacher18,0.006311289966106415,0.02353321574628353,1992.202392578125,0.9566683769226074
train_teacher19,0.0034481717739254236,0.015871718525886536,1472.5458984375,0.9763257503509521
train_teacher2,0.003534264862537384,0.01632535643875599,1490.8155517578125,0.9757347106933594
train_teacher20,0.0035728560760617256,0.016412826254963875,1498.9327392578125,0.975469708442688
train_teacher21,0.003591958899050951,0.016124721616506577,1502.9344482421875,0.9753385782241821
train_teacher22,0.004616591613739729,0.019699715077877045,1703.86474609375,0.9683037400245667
train_teacher23,0.005125128198415041,0.02062077447772026,1795.25732421875,0.9648122787475586
train_teacher24,0.0035626813769340515,0.01664021983742714,1496.7969970703125,0.9755395650863647
train_teacher25,0.003614118555560708,0.016632303595542908,1507.5634765625,0.9751864075660706
train_teacher3,0.004212701227515936,0.01826028898358345,1627.6263427734375,0.9710767269134521
train_teacher4,0.0035961230751127005,0.016228433698415756,1503.8055419921875,0.9753099679946899
train_teacher5,0.004356666002422571,0.018922796472907066,1655.203857421875,0.9700883030891418
train_teacher6,0.005289813037961721,0.020508218556642532,1823.87255859375,0.9636815786361694
train_teacher7,0.00493581360206008,0.019603000953793526,1761.788330078125,0.9661120176315308
train_teacher8,0.003895697183907032,0.017313286662101746,1565.1898193359375,0.9732531905174255
train_teacher9,0.004076234996318817,0.016913361847400665,1601.046630859375,0.9720136523246765
